iter	Passed	Remaining
0	2	235
1	4	229
2	6	218
3	8	196
4	10	193
5	11	187
6	13	184
7	15	180
8	17	176
9	20	180
10	21	176
11	23	171
12	25	167
13	26	163
14	28	160
15	30	158
16	31	155
17	34	155
18	36	155
19	38	153
20	40	150
21	41	148
22	43	146
23	45	144
24	47	142
25	49	141
26	51	138
27	53	136
28	54	134
29	56	131
30	58	129
31	59	126
32	61	124
33	62	122
34	64	119
35	66	117
36	67	115
37	69	112
38	70	110
39	72	108
40	74	106
41	75	103
42	76	102
43	78	100
44	80	98
45	82	96
46	83	94
47	85	92
48	87	90
49	89	89
50	90	87
51	92	85
52	94	83
53	95	81
54	96	79
55	98	77
56	99	75
57	101	73
58	103	71
59	105	70
60	106	68
61	108	66
62	110	64
63	112	63
64	114	61
65	116	59
66	118	58
67	119	56
68	121	54
69	123	53
70	125	51
71	127	49
72	128	47
73	130	45
74	132	44
75	134	42
76	135	40
77	137	38
78	139	37
79	141	35
80	142	33
81	144	31
82	146	29
83	148	28
84	149	26
85	151	24
86	153	22
87	155	21
88	156	19
89	158	17
90	159	15
91	161	14
92	162	12
93	164	10
94	166	8
95	167	6
96	169	5
97	171	3
98	173	1
99	174	0
