iter	Passed	Remaining
0	125	124901
1	129	64432
2	132	43874
3	135	33738
4	137	27448
5	140	23246
6	142	20209
7	144	17965
8	147	16249
9	153	15212
10	156	14044
11	159	13097
12	161	12298
13	166	11755
14	169	11133
15	171	10574
16	174	10110
17	177	9666
18	179	9280
19	182	8931
20	185	8628
21	189	8405
22	191	8115
23	193	7856
24	199	7770
25	202	7574
26	205	7392
27	208	7228
28	211	7069
29	213	6915
30	216	6773
31	218	6620
32	221	6477
33	224	6389
34	227	6277
35	230	6174
36	233	6068
37	236	5975
38	239	5904
39	242	5816
40	245	5735
41	246	5633
42	249	5544
43	251	5469
44	253	5385
45	256	5309
46	258	5236
47	263	5225
48	267	5193
49	270	5144
50	273	5097
51	276	5045
52	280	5017
53	283	4973
54	287	4937
55	291	4913
56	296	4912
57	299	4864
58	301	4810
59	304	4764
60	306	4711
61	310	4692
62	313	4665
63	316	4628
64	318	4583
65	320	4538
66	323	4504
67	325	4467
68	328	4435
69	331	4405
70	334	4380
71	337	4350
72	340	4329
73	343	4303
74	346	4276
75	349	4250
76	352	4220
77	356	4211
78	359	4191
79	362	4171
80	365	4149
81	369	4136
82	371	4101
83	374	4088
84	378	4078
85	381	4059
86	385	4043
87	390	4046
88	393	4026
89	395	4002
90	400	4003
91	404	3990
92	408	3981
93	412	3972
94	416	3963
95	420	3962
96	424	3954
97	429	3954
98	432	3937
99	436	3926
100	442	3939
101	447	3943
102	451	3928
103	454	3915
104	458	3906
105	461	3891
106	464	3878
107	472	3903
108	475	3890
109	479	3879
110	483	3874
111	488	3870
112	492	3862
113	495	3847
114	498	3837
115	502	3826
116	504	3809
117	507	3795
118	511	3783
119	515	3777
120	519	3771
121	522	3756
122	525	3749
123	529	3741
124	533	3733
125	536	3724
126	538	3705
127	541	3688
128	543	3672
129	549	3676
130	552	3661
131	554	3648
132	557	3635
133	560	3621
134	563	3609
135	566	3598
136	570	3591
137	572	3577
138	579	3591
139	582	3578
140	586	3575
141	588	3554
142	592	3550
143	594	3534
144	597	3520
145	599	3506
146	601	3491
147	603	3475
148	608	3472
149	610	3462
150	613	3451
151	616	3439
152	619	3428
153	622	3420
154	625	3409
155	627	3396
156	630	3383
157	632	3370
158	636	3367
159	639	3358
160	641	3343
161	645	3337
162	647	3324
163	651	3323
164	654	3312
165	656	3300
166	660	3292
167	662	3283
168	667	3283
169	670	3275
170	673	3265
171	676	3256
172	680	3253
173	683	3245
174	686	3238
175	690	3230
176	692	3219
177	695	3212
178	698	3205
